route_id,service_id,trip_id,shape_id
20,2,25402,20L
8,2,32722,8I
20,8,25408,20L
8,8,32728,8I
22,9,35299,22L
45,8,22758,45O
20,2,25392,20L
50,9,28559,50L
8,2,32292,8O
20,8,25398,20L
45,2,22752,45O
8,8,32298,8O
48,3,31823,48L
48,2,31822,48L
45,2,23932,45I
48,9,31829,48L
48,8,31828,48L
45,8,23938,45I
20,2,25712,20Lexp
20,8,25718,20Lexp
28,2,36372,28I
45,2,32122,45O
54,8,38038,54O
20,8,25578,20Lexp
28,8,36378,28I
45,8,32128,45O
20,2,25572,20Lexp
48,9,31739,48L
53,9,35729,53I
48,9,31539,48L
9,7,26267,9L
38,9,33239,38O
9,2,26262,9L
52,8,29408, 
54,2,37512,54I
48,9,32019,48L
54,9,37519,54I
54,8,37518,54I
46,8,36578,46L
53,9,37509,53I
46,2,36572,46L
18,7,16967,18O
4,8,36808,4L
4,8,36778,4L
4,2,36802,4L
4,2,36772,4L
38,8,33128,38O
46,2,36592,46L
18,7,27487,18I
56,7,33727, 
51,8,29818,51I
56,2,33722, 
38,2,33092,38I
38,3,33093,38I
53,9,35469,53O
15,9,37429,15I1035
15,8,37428,15I1035
46,8,37358,46L
46,2,37352,46L
15,2,37422,15I1035
28,8,36118,28O
4,2,36972, 
28,2,36112,28O
53,8,35508,53O
4,8,36978, 
28,8,36468,28I
53,9,35509,53O
50,9,28529,50L
50,3,28523,50L
48,9,31699,48L
54,9,37639,54I
54,9,37739,54O
54,8,37738,54O
15,9,37229,15L
15,8,37228,15L
46,2,36602,46L
2,8,23408,2L
15,2,37222,15L
54,2,37732,54O
46,8,36608,46L
48,9,31589,48L
57,2,33942, 
57,3,33943, 
50,3,28413,50L
48,3,31693,48L
50,9,28419,50L
57,8,33948, 
57,9,33949, 
48,2,31762,48L
48,3,31763,48L
48,8,31768,48L
48,9,31769,48L
52,2,29382, 
56,7,33897, 
22,8,34998,22L
52,8,29438, 
56,2,33892, 
54,2,37642,54I
52,8,29388, 
54,9,37649,54I
