stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
1,1,Serra Mall @ the Oval,37.428881,-122.169137,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=1
2,2,Serra Mall @ the Main Quad,37.429012,-122.170065,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=2
3,3,Serra Mall @ Memorial Auditorium,37.428438,-122.167105,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=3
4,4,Serra Mall @ Hoover Tower,37.428234,-122.166383,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=4
5,5,Galvez St @ Memorial Way,37.429284,-122.164968,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=5
6,6,Galvez St @ Montag Hall,37.429524,-122.164779,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=6
7,7,Galvez St @ the Alumni Center,37.430592,-122.164523,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=7
8,8,Galvez St @ Visitor Center,37.431728,-122.164008,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=8
10,10,Serra St @ Burnham Pavilion,37.427916,-122.164605,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=10
11,11,Serra St @ Encina Hall,37.42773,-122.164061,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=11
12,12,Serra St @ Campus Dr,37.42711,-122.160785,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=12
13,13,Serra St @ Manzanita Field,37.427013,-122.160691,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=13
14,14,Campus Dr @ Serra St,37.426142,-122.159459,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=14
17,17,Campus Dr @ Escondido Rd,37.424045,-122.160693,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=17
18,18,Campus Dr @ Mirrielees,37.424458,-122.160321,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=18
19,19,Campus Dr @ Bowdoin St,37.422793,-122.161118,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=19
20,20,Campus Dr @ Wilbur Parking Lot,37.422633,-122.161728,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=20
